Tipologia,Frecuencia,Porcentaje,Nodos,Aristas,Densidad,Frecuencia_acumulada
T538,1,0,10,11,0.1222,98.67
T539,1,0,6,4,0.1333,98.67
T540,1,0,9,14,0.1944,98.67
T541,1,0,9,14,0.1944,98.67
T542,1,0,10,9,0.1,98.67
T543,1,0,9,8,0.1111,98.67
T544,1,0,9,7,0.0972,98.67
T545,1,0,9,9,0.125,98.67
T546,1,0,9,10,0.1389,98.67
T547,1,0,8,8,0.1429,98.67
T548,1,0,8,9,0.1607,98.67
T549,1,0,8,7,0.125,98.67
T550,1,0,8,9,0.1607,98.67
T551,1,0,6,4,0.1333,98.67
T552,1,0,8,8,0.1429,98.67
T553,1,0,9,9,0.125,98.67
T554,1,0,9,10,0.1389,98.67
T555,1,0,9,10,0.1389,98.67
T556,1,0,9,11,0.1528,98.67
T557,1,0,8,6,0.1071,98.67
T558,1,0,8,10,0.1786,98.67
T559,1,0,8,8,0.1429,98.67
T560,1,0,8,8,0.1429,98.67
T561,1,0,8,6,0.1071,98.67
T562,1,0,9,13,0.1806,98.67
T563,1,0,9,13,0.1806,98.67
T564,1,0,8,6,0.1071,98.67
T565,1,0,8,6,0.1071,98.67
T566,1,0,8,9,0.1607,98.67
T567,1,0,8,11,0.1964,98.67
T568,1,0,8,11,0.1964,98.67
T569,1,0,8,9,0.1607,98.67
T570,1,0,8,8,0.1429,98.67
T571,1,0,8,9,0.1607,98.67
T572,1,0,8,9,0.1607,98.67
T573,1,0,8,10,0.1786,98.67
T574,1,0,7,6,0.1429,98.67
T575,1,0,7,7,0.1667,98.67
T576,1,0,8,6,0.1071,98.67
T577,1,0,8,7,0.125,98.67
T578,1,0,8,7,0.125,98.67
T579,1,0,8,8,0.1429,98.67
T580,1,0,8,9,0.1607,98.67
T581,1,0,8,6,0.1071,98.67
T582,1,0,8,9,0.1607,98.67
T583,1,0,7,5,0.119,98.67
T584,1,0,7,5,0.119,98.67
T585,1,0,7,6,0.1429,98.67
T586,1,0,7,5,0.119,98.67
T587,1,0,9,14,0.1944,98.67
T588,1,0,7,7,0.1667,98.67
T589,1,0,7,9,0.2143,98.67
T590,1,0,15,19,0.0905,98.67
T591,1,0,6,5,0.1667,98.67
T592,1,0,8,7,0.125,98.67
T593,1,0,7,6,0.1429,98.67
T594,1,0,7,7,0.1667,98.67
T595,1,0,7,8,0.1905,98.67
T596,1,0,7,6,0.1429,98.67
T597,1,0,6,5,0.1667,98.67
T598,1,0,6,5,0.1667,98.67
T599,1,0,6,7,0.2333,98.67
T600,1,0,7,9,0.2143,98.67
T601,1,0,4,4,0.3333,98.67
T602,1,0,12,11,0.0833,98.67
T603,1,0,7,8,0.1905,98.67
T604,1,0,6,5,0.1667,98.67
T605,1,0,12,22,0.1667,98.67
T606,1,0,7,8,0.1905,98.67
T607,1,0,10,12,0.1333,98.67
T608,1,0,10,13,0.1444,98.67
T609,1,0,10,14,0.1556,98.67
T610,1,0,10,13,0.1444,98.67
T611,1,0,10,15,0.1667,98.67
T612,1,0,10,14,0.1556,98.67
T613,1,0,10,16,0.1778,98.67
T614,1,0,11,17,0.1545,98.67
T615,1,0,6,4,0.1333,98.67
T616,1,0,6,5,0.1667,98.67
T617,1,0,5,4,0.2,98.67
T618,1,0,6,5,0.1667,98.67
T619,1,0,11,19,0.1727,98.67
T620,1,0,11,20,0.1818,98.67
T621,1,0,13,15,0.0962,98.67
T622,1,0,13,19,0.1218,98.67
T623,1,0,11,11,0.1,98.67
T624,1,0,11,14,0.1273,98.67
T625,1,0,11,17,0.1545,98.67
T626,1,0,12,15,0.1136,98.67
T627,1,0,11,10,0.0909,98.67
T628,1,0,11,11,0.1,98.67
T629,1,0,11,16,0.1455,98.67
T630,1,0,11,14,0.1273,98.67
T631,1,0,10,14,0.1556,98.67
T632,1,0,9,10,0.1389,98.67
T633,1,0,9,11,0.1528,98.67
T634,1,0,9,11,0.1528,98.67
T635,1,0,9,13,0.1806,98.67
T636,1,0,9,14,0.1944,98.67
T637,1,0,9,12,0.1667,98.67
T638,1,0,9,12,0.1667,98.67
T639,1,0,9,13,0.1806,98.67
T640,1,0,9,15,0.2083,98.67
T641,1,0,6,6,0.2,98.67
T642,1,0,9,15,0.2083,98.67
T643,1,0,9,15,0.2083,98.67
T644,1,0,10,17,0.1889,98.67
T645,1,0,10,18,0.2,98.67
T646,1,0,10,18,0.2,98.67
T647,1,0,11,13,0.1182,98.67
T648,1,0,10,16,0.1778,98.67
T649,1,0,10,9,0.1,98.67
T650,1,0,10,17,0.1889,98.67
T651,1,0,10,13,0.1444,98.67
T652,1,0,10,13,0.1444,98.67
T653,1,0,9,8,0.1111,98.67
T654,1,0,9,9,0.125,98.67
T655,1,0,9,10,0.1389,98.67
T656,1,0,9,11,0.1528,98.67
T657,1,0,9,8,0.1111,98.67
T658,1,0,9,8,0.1111,98.67
T659,1,0,9,9,0.125,98.67
T660,1,0,9,11,0.1528,98.67
T661,1,0,9,8,0.1111,98.67
T662,1,0,8,7,0.125,98.67
T663,1,0,8,7,0.125,98.67
T664,1,0,8,8,0.1429,98.67
T665,1,0,8,10,0.1786,98.67
T666,1,0,8,8,0.1429,98.67
T667,1,0,8,10,0.1786,98.67
T668,1,0,8,9,0.1607,98.67
T669,1,0,8,10,0.1786,98.67
T670,1,0,8,11,0.1964,98.67
T671,1,0,8,12,0.2143,98.67
T672,1,0,8,10,0.1786,98.67
T673,1,0,8,11,0.1964,98.67
T674,1,0,8,11,0.1964,98.67
