"Tipologia","Frecuencia","Household"
"T1",10371,310110020301
"T1",10371,310110021101
"T1",10371,310110021501
"T1",10371,310110021601
"T1",10371,310110040101
"T1",10371,310110040601
"T1",10371,310110041101
"T1",10371,310110041201
"T1",10371,310110041501
"T1",10371,310110042001
"T1",10371,310110080401
"T1",10371,310110090501
"T1",10371,310110090601
"T1",10371,310110090701
"T1",10371,310110100301
"T1",10371,310110100401
"T1",10371,310110100601
"T1",10371,310110110501
"T1",10371,310110111301
"T1",10371,310110120401
"T1",10371,310110140101
"T1",10371,310110160101
"T1",10371,310110160701
"T1",10371,310110161201
"T1",10371,310110180401
"T1",10371,310110190601
"T1",10371,310110190801
"T1",10371,310110200201
"T1",10371,310110200802
"T1",10371,310110210301
"T1",10371,310110230101
"T1",10371,310110240301
"T1",10371,310110250401
"T1",10371,310110270601
"T1",10371,310110281301
"T1",10371,310110290401
"T1",10371,310110300301
"T1",10371,310110332001
"T1",10371,310110340102
"T1",10371,310110340401
"T1",10371,310110370301
"T1",10371,310110440101
"T1",10371,310110490201
"T1",10371,310110510301
"T1",10371,310110520201
"T1",10371,310110570301
"T1",10371,310110570501
"T1",10371,310110570601
"T1",10371,310110590201
"T1",10371,310110610301
"T1",10371,310110630201
"T1",10371,310110651001
"T1",10371,310110700701
"T1",10371,310110700801
"T1",10371,310110710201
"T1",10371,310110730101
"T1",10371,310110760701
"T1",10371,310110760801
"T1",10371,310110780201
"T1",10371,310110800601
"T1",10371,310110810201
"T1",10371,310110820101
"T1",10371,310110821401
"T1",10371,310110840101
"T1",10371,310110850201
"T1",10371,310110850601
"T1",10371,310110900201
"T1",10371,310110900301
"T1",10371,310110900401
"T1",10371,310110940601
"T1",10371,310110950401
"T1",10371,310110960401
"T1",10371,310110961001
"T1",10371,310110970101
"T1",10371,310110970601
"T1",10371,310110970801
"T1",10371,310110980201
"T1",10371,310110990401
"T1",10371,310111000301
"T1",10371,310111010301
"T1",10371,310111070301
"T1",10371,310111090201
"T1",10371,310111110401
"T1",10371,310111130401
"T1",10371,310111140101
"T1",10371,310111160801
"T1",10371,310111190701
"T1",10371,310111190801
"T1",10371,310111191001
"T1",10371,310111260301
"T1",10371,310111350301
"T1",10371,310111370401
"T1",10371,310111370901
"T1",10371,310111380101
"T1",10371,310111380701
"T1",10371,310111390201
"T1",10371,310111400601
"T1",10371,310111400701
"T1",10371,310111401001
"T1",10371,310111401501
"T1",10371,310111420601
"T1",10371,310111430401
"T1",10371,310111450401
"T1",10371,310111470601
