"Tipologia","intergeneracional","padrastros","suegros","nodos_aislados","monoparental","pareja_sin_hijos"
"T516",1,0,0,1,0,0
"T517",0,1,0,1,0,0
"T518",0,0,1,1,0,0
"T519",0,1,0,1,0,0
"T520",0,1,1,1,0,0
"T521",1,1,1,1,0,0
"T522",1,0,0,1,0,0
"T523",0,0,0,1,0,0
"T524",0,0,0,1,0,0
"T525",0,1,1,1,0,0
"T526",0,1,1,1,0,0
"T527",0,0,1,1,0,0
"T528",1,0,0,1,0,0
"T529",1,1,1,1,0,0
"T530",1,0,0,1,0,0
"T531",1,0,1,1,0,0
"T532",0,0,1,1,0,0
"T533",1,0,1,1,0,0
"T534",0,1,1,1,0,0
"T535",0,0,1,1,0,0
"T536",1,0,1,1,0,0
"T537",1,0,0,1,0,0
"T538",1,0,0,1,0,0
"T539",0,1,0,1,0,0
"T540",0,0,1,1,0,0
"T541",0,0,1,1,0,0
"T542",1,0,1,1,0,0
"T543",1,1,0,1,0,0
"T544",1,0,0,1,0,0
"T545",0,0,1,1,0,0
"T546",1,1,1,1,0,0
"T547",0,1,0,1,0,0
"T548",0,1,0,1,0,0
"T549",0,0,0,1,0,0
"T550",0,1,1,1,0,0
"T551",1,1,0,1,0,0
"T552",0,1,1,1,0,0
"T553",1,0,1,1,0,0
"T554",1,0,1,1,0,0
"T555",1,1,0,1,0,0
"T556",1,1,1,1,0,0
"T557",1,0,0,1,0,0
"T558",0,1,0,1,0,0
"T559",1,1,1,1,0,0
"T560",0,1,1,1,0,0
"T561",1,0,0,1,0,0
"T562",0,0,1,1,0,0
"T563",1,0,1,1,0,0
"T564",1,0,0,1,0,0
"T565",1,0,0,1,0,0
"T566",0,0,0,1,0,0
"T567",1,0,0,1,0,0
"T568",0,1,1,1,0,0
"T569",1,0,1,1,0,0
"T570",0,0,0,1,0,0
"T571",0,0,1,1,0,0
"T572",1,1,0,1,0,0
"T573",1,0,0,1,0,0
"T574",1,1,0,1,0,0
"T575",0,0,1,1,0,0
"T576",0,1,1,1,0,0
"T577",1,1,1,1,0,0
"T578",0,1,1,1,0,0
"T579",0,0,1,1,0,0
"T580",1,1,0,1,0,0
"T581",1,0,0,1,0,0
"T582",1,0,0,1,0,0
"T583",1,0,0,1,0,0
"T584",1,0,0,1,0,0
"T585",0,1,0,1,0,0
"T586",1,0,0,1,0,0
"T587",0,0,1,1,0,0
"T588",0,0,1,1,0,0
"T589",0,1,1,1,0,0
"T590",0,1,1,0,0,0
"T591",0,1,1,1,0,0
"T592",0,0,0,1,0,0
"T593",1,1,0,1,0,0
"T594",1,1,0,1,0,0
"T595",1,1,0,1,0,0
"T596",0,0,0,1,0,0
"T597",0,1,1,1,0,0
"T598",0,1,0,1,0,0
"T599",0,1,1,1,0,0
"T600",0,0,1,1,0,0
"T601",0,0,1,0,0,0
"T602",1,0,0,0,0,0
"T603",1,0,0,1,0,0
"T604",0,1,1,1,0,0
"T605",0,0,1,0,0,0
"T606",0,0,0,1,0,0
"T607",0,1,1,0,0,0
"T608",1,0,1,0,0,0
"T609",0,1,1,0,0,0
"T610",0,1,0,0,0,0
"T611",1,0,1,0,0,0
"T612",0,0,1,0,0,0
"T613",0,1,1,0,0,0
"T614",0,1,1,0,0,0
"T615",0,1,0,1,0,0
"T616",1,1,0,1,0,0
"T617",0,1,1,1,0,0
"T618",1,0,1,1,0,0
"T619",0,0,1,0,0,0
"T620",0,0,1,0,0,0
"T621",1,1,1,0,0,0
"T622",1,0,1,0,0,0
"T623",1,1,1,0,0,0
"T624",0,1,1,0,0,0
"T625",0,1,1,0,0,0
"T626",1,0,0,0,0,0
"T627",1,0,0,0,0,0
"T628",1,1,1,0,0,0
"T629",1,0,1,0,0,0
"T630",1,1,1,0,0,0
"T631",1,1,1,0,0,0
"T632",0,1,0,0,0,0
"T633",0,0,1,0,0,0
"T634",0,1,1,0,0,0
"T635",1,0,1,0,0,0
"T636",0,1,0,0,0,0
"T637",0,0,1,0,0,0
"T638",0,1,1,0,0,0
"T639",0,1,1,0,0,0
"T640",0,1,0,0,0,0
"T641",1,0,0,1,0,0
"T642",0,1,1,0,0,0
"T643",0,1,1,0,0,0
"T644",0,0,1,0,0,0
"T645",0,0,1,0,0,0
"T646",0,0,1,0,0,0
"T647",1,0,0,0,0,0
"T648",0,1,1,0,0,0
"T649",1,0,0,0,0,0
"T650",1,0,0,0,0,0
"T651",0,0,1,0,0,0
"T652",1,0,1,0,0,0
"T653",1,0,0,0,0,0
"T654",1,0,0,0,0,0
"T655",0,1,1,0,0,0
"T656",0,1,1,0,0,0
"T657",1,0,0,0,0,0
"T658",1,0,0,0,0,0
"T659",0,1,0,0,0,0
"T660",1,1,0,0,0,0
"T661",1,0,0,0,0,0
"T662",0,0,0,0,1,0
"T663",0,0,0,0,0,0
"T664",1,1,0,0,0,0
"T665",0,1,1,0,0,0
"T666",0,0,1,0,0,0
"T667",0,1,1,0,0,0
"T668",1,0,1,0,0,0
"T669",0,1,1,0,0,0
"T670",0,1,1,0,0,0
"T671",0,1,1,0,0,0
"T672",0,1,1,0,0,0
"T673",0,1,1,0,0,0
"T674",0,1,1,0,0,0
"T675",0,1,0,0,0,0
"T676",0,1,1,0,0,0
"T677",0,1,0,0,0,0
"T678",0,1,1,0,0,0
"T679",0,1,1,0,0,0
"T680",0,1,1,0,0,0
"T681",0,1,1,0,0,0
"T682",0,0,1,0,0,0
"T683",0,0,1,0,0,0
"T684",0,0,1,0,0,0
"T685",0,0,1,0,0,0
"T686",0,0,1,0,0,0
"T687",0,1,1,0,0,0
"T688",1,1,1,0,0,0
"T689",1,0,1,0,0,0
"T690",1,0,0,0,0,0
"T691",1,0,0,0,0,0
"T692",1,1,0,0,0,0
"T693",1,0,0,0,0,0
"T694",1,0,0,0,0,0
"T695",0,1,0,0,0,0
"T696",1,0,1,0,0,0
"T697",1,1,1,0,0,0
"T698",1,1,0,0,0,0
"T699",1,0,1,0,0,0
"T700",1,0,0,0,0,0
"T701",1,0,0,0,0,0
"T702",0,1,1,0,0,0
"T703",0,0,1,0,0,0
"T704",1,0,0,0,0,0
"T705",0,1,1,0,0,0
"T706",0,1,1,0,0,0
"T707",0,1,0,0,0,0
"T708",0,1,1,0,0,0
"T709",1,1,0,0,0,0
"T710",1,0,0,0,0,0
"T711",1,0,1,0,0,0
"T712",0,1,1,0,0,0
"T713",1,1,1,0,0,0
"T714",1,0,0,0,0,0
"T715",1,0,0,0,0,0
"T716",1,0,0,0,0,0
"T717",1,1,0,0,0,0
"T718",1,1,1,0,0,0
"T719",1,1,1,0,0,0
"T720",1,0,1,0,0,0
"T721",1,0,0,0,0,0
