"Nodos","fingerprints","Frecuencia"
9,"0:3,1:3,2:1,3:1,4:1|1:6",1
9,"0:3,2:3,1:1,4:1,5:1|1:8",1
9,"0:4,1:2,3:2,4:1|1:6",1
9,"0:4,1:4,2:1|1:3",1
9,"0:4,1:4,4:1|1:4",1
9,"0:5,1:2,2:1,4:1|1:4",1
9,"0:5,1:4|1:2",1
9,"0:5,2:2,4:2|1:6",1
9,"1:2,2:2,3:2,0:1,4:1,6:1|1:11",1
9,"1:2,2:2,3:2,5:2,4:1|1:13",2
9,"1:3,0:2,2:2,3:1,4:1|1:7",1
9,"1:3,2:2,0:1,3:1,4:1,6:1|1:10",1
9,"1:3,2:2,4:2,0:1,3:1|1:9",2
9,"1:3,2:2,4:2,0:1,5:1|1:10",1
9,"1:3,2:2,6:2,3:1,4:1|1:13",1
9,"1:3,2:3,0:1,4:1,5:1|1:9",1
9,"1:3,2:3,3:2,7:1|1:11",1
9,"1:3,2:3,4:1,6:1,7:1|1:13",1
9,"1:3,2:3,4:2,5:1|1:11",1
9,"1:3,2:3,5:2,3:1|1:11",1
9,"1:3,2:3,6:2,5:1|1:13",1
9,"1:3,3:2,2:1,4:1,5:1,6:1|1:13",1
9,"1:3,3:3,0:2,2:1|1:7",2
9,"1:3,4:2,5:2,2:1,3:1|1:13",1
9,"1:3,4:3,0:1,2:1,5:1|1:11",1
9,"1:4,0:2,2:1,3:1,5:1|1:7",1
9,"1:4,0:3,2:1,4:1|1:5",1
9,"1:4,2:2,3:1,4:1,5:1|1:10",2
9,"1:4,2:2,3:1,5:1,6:1|1:11",1
9,"1:4,2:2,3:2,6:1|1:10",1
9,"1:4,2:2,4:2,0:1|1:8",1
9,"1:4,2:2,5:2,4:1|1:11",2
9,"1:4,2:3,3:1,5:1|1:9",1
9,"1:4,2:3,3:2|1:8",1
9,"1:4,3:2,2:1,4:1,6:1|1:11",1
9,"1:4,3:2,4:2,2:1|1:10",1
9,"1:4,4:2,2:1,3:1,5:1|1:11",1
9,"1:4,4:2,5:2,2:1|1:12",3
9,"1:4,5:3,2:1,3:1|1:12",1
9,"1:5,0:1,2:1,3:1,4:1|1:7",1
9,"1:5,0:1,3:1,4:1,6:1|1:9",1
9,"1:5,0:2,2:1,5:1|1:6",1
9,"1:5,2:1,3:1,4:1,6:1|1:10",1
9,"1:5,2:2,0:1,3:1|1:6",1
9,"1:5,2:2,3:1,4:1|1:8",4
9,"1:5,3:3,2:1|1:8",1
9,"1:5,3:3,4:1|1:9",1
9,"1:5,4:2,2:1,3:1|1:9",1
9,"1:5,4:3,5:1|1:11",1
9,"1:6,2:1,3:1,5:1|1:8",1
9,"1:6,2:1,3:1,9:1|1:10",1
9,"1:6,2:2,4:1|1:7",1
9,"1:6,2:2,6:1|1:8",1
9,"1:6,3:2,4:1|1:8",1
9,"1:6,4:2,2:1|1:8",1
9,"1:7,2:1,5:1|1:7",1
9,"1:7,3:1,6:1|1:8",1
9,"1:7,4:1,5:1|1:8",1
9,"1:7,5:1,6:1|1:9",1
9,"2:2,3:2,4:2,1:1,5:1,6:1|1:15",1
9,"2:2,3:2,4:2,5:2,0:1|1:14",1
9,"2:3,0:2,1:2,6:2|1:10",1
9,"2:3,0:2,3:2,4:2|1:10",2
9,"2:3,1:2,3:2,4:1,6:1|1:12",1
9,"2:3,1:2,4:2,3:1,5:1|1:12",1
9,"2:3,1:2,4:2,3:1,7:1|1:13",1
9,"2:3,1:2,4:2,6:2|1:14",2
9,"2:3,3:2,6:2,1:1,5:1|1:15",1
9,"2:3,3:3,0:1,1:1,4:1|1:10",1
9,"2:3,4:2,1:1,3:1,5:1,7:1|1:15",2
9,"2:3,4:3,3:1,5:1,6:1|1:16",2
9,"2:3,5:2,0:1,1:1,3:1,6:1|1:13",1
9,"2:3,5:2,1:1,3:1,4:1,6:1|1:15",4
9,"2:3,5:3,4:2,1:1|1:15",1
9,"2:4,0:2,1:1,5:1,6:1|1:10",1
9,"2:4,1:1,3:1,4:1,6:1,8:1|1:15",1
9,"2:4,1:2,3:1,4:1,5:1|1:11",1
9,"2:4,1:2,5:2,0:1|1:10",1
9,"2:4,1:3,5:1,6:1|1:11",1
9,"2:4,3:2,0:1,6:1,8:1|1:14",1
9,"2:4,4:2,0:1,5:1,7:1|1:14",4
